DN,20,30,40,50,60,70,80,90
1,5,9,20,35,52,75,99,110
2,9,22,48,81,125,180,232,263
3,17,38,84,145,220,313,389,455
4,23,56,110,188,296,447,563,679
5,44,95,191,296,528,748,945,1177
6,70,151,273,458,748,1108,1415,1734
8,110,267,539,922,1369,2105,2796,3538
10,203,406,824,1346,1868,2807,4234,5232
12,307,606,1154,1995,3091,4599,6914,8364
14,406,766,1369,2088,3341,5278,8329,10162
16,592,1143,1717,2842,4907,7598,10730,13166
18,771,1456,2587,4466,7250,10672,14210,17284
20,1032,1879,3457,6206,9454,13688,18050,20880
24,1125,2494,4849,8607,13166,19082,24592,28420
28,1230,2970,5647,9758,16656,27725,43660,56414
30,1412,3409,6482,11223,19121,31827,50120,64762
32,1626,3860,7367,12956,22125,37206,60111,74130
36,2221,4940,9161,16065,27709,47690,77454,93979
